coverage_id,business_domain,business_line,legal_entity,segment,product,value_stream,capability,process,organisation,application,authoritative_data/system_of_record,interface,external_network,accounting_event,reconciliation,control,critical_operation,technology_or_resilience_classification,bian_mapping,scenario,chapter,status,gap
HB-COV-001,HB-DOM-001,Pending,HB-LE-01,Pending,Pending,Pending,HB-CAP-001,HB-PROC-20,HB-ORG-01,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Proposed,"Enterprise-governance business-line segment product value-stream application data interface network accounting reconciliation control critical-operation technology BIAN 14.0 scenario and chapter joins are not yet catalogued."
HB-COV-002,HB-DOM-010,HB-BL-01,HB-LE-02,HB-SEG-01,Pending,HB-VS-01,HB-CAP-010,HB-PROC-01,HB-ORG-07,HB-APP-016,HB-SOR-01; HB-SOR-07,HB-INT-020,HB-EXT-011,Pending,HB-REC-001,HB-CTRL-01,HB-CRIT-03,HB-TECH-004,Pending,HB-SCN-01,37,Proposed,"The relationship scenario is not product-specific. Its accounting event is not catalogued and its exact BIAN 14.0 mapping is unverified."
HB-COV-003,HB-DOM-020,HB-BL-01,HB-LE-02,HB-SEG-01,HB-PRD-02,HB-VS-02,HB-CAP-020,HB-PROC-07,HB-ORG-27,HB-APP-013,HB-SOR-05,HB-INT-006,Pending,Pending,Pending,HB-CTRL-07,Pending,HB-TECH-024,Pending,HB-SCN-20,Pending,Proposed,"No external network accounting event reconciliation critical operation or BIAN 14.0 mapping is catalogued for product-price change. HB-SCN-20 is outside the Chapter 37-48 scenario sequence and has no chapter join here."
HB-COV-004,HB-DOM-030,HB-BL-01,HB-LE-02,HB-SEG-01,HB-PRD-02,HB-VS-03,HB-CAP-030,HB-PROC-02,HB-ORG-08,HB-APP-020,HB-SOR-02,HB-INT-019,Pending,HB-ACC-05,HB-REC-003,HB-CTRL-08,HB-CRIT-01,HB-TECH-005,HB-BIAN-01,HB-SCN-04,38,Proposed,"The transaction-account scenario has no governed external-network join; all other joins use existing catalogue records."
HB-COV-005,HB-DOM-030,HB-BL-01,HB-LE-02,HB-SEG-01,HB-PRD-03,HB-VS-03,HB-CAP-030,HB-PROC-02,HB-ORG-08,HB-APP-021,HB-SOR-02,HB-INT-028,Pending,HB-ACC-01,HB-REC-004,HB-CTRL-09,HB-CRIT-04,HB-TECH-005,HB-BIAN-01,HB-SCN-05,38,Proposed,"The term-deposit scenario has no governed external-network join; all other joins use existing catalogue records."
HB-COV-006,HB-DOM-040,HB-BL-01,HB-LE-02,HB-SEG-01,HB-PRD-05,HB-VS-05,HB-CAP-040,HB-PROC-03,HB-ORG-08,HB-APP-023,HB-SOR-03,HB-INT-029,HB-EXT-013,HB-ACC-02,HB-REC-008,HB-CTRL-10,HB-CRIT-08,HB-TECH-007,HB-BIAN-03,HB-SCN-06,39,Proposed,"Consumer and mortgage variants remain combined at the Level 1 domain and capability baseline."
HB-COV-007,HB-DOM-040,HB-BL-02,HB-LE-02,HB-SEG-03,HB-PRD-06,HB-VS-05,HB-CAP-040,HB-PROC-03,HB-ORG-29,HB-APP-025,HB-SOR-03,HB-INT-030,Pending,HB-ACC-02,HB-REC-010,HB-CTRL-12,HB-CRIT-09,HB-TECH-008,HB-BIAN-03,HB-SCN-07,39,Proposed,"No single external network is catalogued for the corporate-facility lifecycle; syndicated and collateral-provider joins remain ungoverned."
HB-COV-008,HB-DOM-040,HB-BL-01,HB-LE-02,HB-SEG-01,HB-PRD-05,HB-VS-05,HB-CAP-040,HB-PROC-03,HB-ORG-29,HB-APP-031,HB-SOR-03,HB-INT-032,Pending,HB-ACC-12,HB-REC-011,HB-CTRL-13,HB-CRIT-08,HB-TECH-008,HB-BIAN-03,HB-SCN-08,40,Proposed,"No single external network is catalogued for delinquency restructuring and recovery; agency hand-offs remain ungoverned."
HB-COV-009,HB-DOM-050,HB-BL-02,HB-LE-02,HB-SEG-03,HB-PRD-07,HB-VS-04,HB-CAP-050,HB-PROC-04,HB-ORG-28,HB-APP-034,HB-SOR-08; HB-SOR-09,HB-INT-065,HB-EXT-005,HB-ACC-14,HB-REC-014,HB-CTRL-16,HB-CRIT-02,HB-TECH-009,HB-BIAN-02,HB-SCN-02,41,Proposed,"The selected row traces the cross-border instruction and settlement path; corridor-specific routing remains pending in the scenario catalogue."
HB-COV-010,HB-DOM-050,HB-BL-01,HB-LE-02,HB-SEG-01,HB-PRD-07,HB-VS-04,HB-CAP-050,HB-PROC-04,HB-ORG-28,HB-APP-033,HB-SOR-08,HB-INT-064,HB-EXT-003,HB-ACC-14,HB-REC-013,HB-CTRL-15,HB-CRIT-02,HB-TECH-009,HB-BIAN-02,HB-SCN-09,41,Proposed,"Network-finality and recovery-replay detail remains pending in the scenario catalogue."
